,Unnamed: 0,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,0,52,30,.634,—,94.4,91.3,2.75,2000,Miami Heat
1,1,50,32,.610,2.0,92.1,90.7,1.30,2000,New York Knicks
2,2,49,33,.598,3.0,94.8,93.4,1.02,2000,Philadelphia 76ers
3,3,41,41,.500,11.0,100.1,99.4,0.43,2000,Orlando Magic
4,4,35,47,.427,17.0,99.3,100.1,-1.00,2000,Boston Celtics
5,5,31,51,.378,21.0,98.0,99.0,-1.18,2000,New Jersey Nets
6,6,29,53,.354,23.0,96.6,99.9,-3.47,2000,Washington Wizards
8,8,56,26,.683,—,101.3,96.7,4.15,2000,Indiana Pacers
9,9,49,33,.598,7.0,98.4,95.8,2.33,2000,Charlotte Hornets
10,10,45,37,.549,11.0,97.2,97.3,-0.46,2000,Toronto Raptors
11,11,42,40,.512,14.0,103.5,102.0,1.13,2000,Detroit Pistons
12,12,42,40,.512,14.0,101.2,101.0,-0.06,2000,Milwaukee Bucks
13,13,32,50,.390,24.0,97.0,100.5,-3.64,2000,Cleveland Cavaliers
14,14,28,54,.341,28.0,94.3,99.7,-5.41,2000,Atlanta Hawks
15,15,17,65,.207,39.0,84.8,94.2,-9.23,2000,Chicago Bulls
17,1,55,27,.671,—,96.5,92.0,4.52,2000,Utah Jazz
18,2,53,29,.646,2.0,96.2,90.2,5.92,2000,San Antonio Spurs
19,3,50,32,.610,5.0,98.5,96.0,2.67,2000,Minnesota Timberwolves
20,4,40,42,.488,15.0,101.4,102.0,-0.29,2000,Dallas Mavericks
21,5,35,47,.427,20.0,99.0,101.1,-1.76,2000,Denver Nuggets
22,6,34,48,.415,21.0,99.5,100.3,-0.57,2000,Houston Rockets
23,7,22,60,.268,33.0,93.9,99.5,-5.10,2000,Vancouver Grizzlies
25,9,67,15,.817,—,100.8,92.3,8.41,2000,Los Angeles Lakers
26,10,59,23,.720,8.0,97.5,91.0,6.36,2000,Portland Trail Blazers
27,11,53,29,.646,14.0,98.9,93.7,5.24,2000,Phoenix Suns
28,12,45,37,.549,22.0,99.1,98.1,1.17,2000,Seattle SuperSonics
29,13,44,38,.537,23.0,105.0,102.0,3.04,2000,Sacramento Kings
30,14,19,63,.232,48.0,95.5,103.8,-7.63,2000,Golden State Warriors
31,15,15,67,.183,52.0,92.0,103.5,-10.73,2000,Los Angeles Clippers
32,0,56,26,.683,—,94.7,90.4,3.64,2001,Philadelphia 76ers
33,1,50,32,.610,6.0,88.9,86.6,1.73,2001,Miami Heat
34,2,48,34,.585,8.0,88.7,86.1,1.98,2001,New York Knicks
35,3,43,39,.524,13.0,97.5,96.5,0.39,2001,Orlando Magic
36,4,36,46,.439,20.0,94.6,96.8,-2.40,2001,Boston Celtics
37,5,26,56,.317,30.0,92.1,97.1,-5.30,2001,New Jersey Nets
38,6,19,63,.232,37.0,93.2,99.9,-6.75,2001,Washington Wizards
40,8,52,30,.634,—,100.7,96.9,3.14,2001,Milwaukee Bucks
41,9,47,35,.573,5.0,97.6,95.4,1.69,2001,Toronto Raptors
42,10,46,36,.561,6.0,91.9,89.8,1.45,2001,Charlotte Hornets
43,11,41,41,.500,11.0,92.6,92.8,-0.77,2001,Indiana Pacers
44,12,32,50,.390,20.0,95.6,97.3,-2.08,2001,Detroit Pistons
45,13,30,52,.366,22.0,92.2,96.5,-4.48,2001,Cleveland Cavaliers
46,14,25,57,.305,27.0,91.0,96.2,-5.55,2001,Atlanta Hawks
47,15,15,67,.183,37.0,87.6,96.7,-9.09,2001,Chicago Bulls
49,1,58,24,.707,—,96.2,88.4,7.92,2001,San Antonio Spurs
50,2,53,29,.646,5.0,97.1,92.4,5.00,2001,Utah Jazz
51,3,53,29,.646,5.0,100.5,96.2,4.61,2001,Dallas Mavericks
